ic,start_nodes
さいたま見沼,"[""S2_UP""]"
みなとみらい,"[""K1_DOWN"", ""K1_UP""]"
一ツ橋,"[""R5A_DOWN""]"
一之江,"[""R7B_UP""]"
三ツ沢,"[""K2_UP""]"
三溪園,"[""BAY_W""]"
三軒茶屋,"[""R3B_UP""]"
三郷,"[""R6B_UP""]"
上野,"[""R1U_UP""]"
与野,"[""S5_UP""]"
中台,"[""R5B_UP""]"
中環大井南,"[""C2_CW""]"
中環小松川,"[""C2_CCW""]"
中野長者橋,"[""C2_CW""]"
五反田,"[""C2_CW""]"
京橋,"[""C1_CW""]"
代々木,"[""R4A_UP""]"
代官町,"[""C1_CCW""]"
入谷,"[""R1U_UP""]"
八潮,"[""R6B_UP""]"
八潮南,"[""R6B_DOWN"", ""R6B_UP""]"
初台,"[""R4B_DOWN""]"
初台南,"[""C2_CCW""]"
加平,"[""R6B_DOWN"", ""R6B_UP""]"
加賀,"[""S1_UP""]"
勝島,"[""R1H_DOWN""]"
北池袋,"[""R5A_UP""]"
千住新橋,"[""C2_CCW"", ""C2_CW""]"
千鳥町,"[""BAY_W""]"
南本牧ふ頭,"[""BAY_E""]"
向島,"[""R6A_DOWN"", ""R6A_UP""]"
四つ木,"[""C2_CCW"", ""C2_CW""]"
堤通,"[""R6A_DOWN"", ""R6A_UP""]"
塩浜,"[""R9_DOWN""]"
外苑,"[""R4A_DOWN"", ""R4A_UP""]"
大井,"[""BAY_E""]"
大井南,"[""BAY_W""]"
大師,"[""K1_DOWN"", ""K1_UP"", ""K6_UP""]"
大黒ふ頭,"[""BAY_E"", ""BAY_W"", ""K5_UP""]"
天現寺,"[""R2A_UP"", ""R2B_UP""]"
子安,"[""K1_DOWN"", ""K1_UP""]"
守屋町,"[""K1_DOWN"", ""K1_UP""]"
安行,"[""S1_UP""]"
宝町,"[""C1_CCW""]"
富ヶ谷,"[""C2_CW""]"
小松川,"[""R7B_UP""]"
小菅,"[""C2_CW""]"
山下町,"[""K3_DOWN"", ""K3_UP""]"
岸谷生麦,"[""K7_DOWN"", ""K7_UP""]"
幡ヶ谷,"[""R4B_UP""]"
平井大橋,"[""C2_CCW""]"
平和島,"[""R1H_DOWN"", ""R1H_UP""]"
幸浦,"[""BAY_E""]"
戸田,"[""R5B_DOWN""]"
戸田南,"[""R5B_UP""]"
戸越,"[""R2B_UP""]"
扇大橋,"[""C2_CCW"", ""C2_CW""]"
新井宿,"[""S1_UP""]"
新宿,"[""R4A_UP""]"
新山下,"[""K3_DOWN"", ""K3_UP""]"
新木場,"[""BAY_E"", ""BAY_W""]"
新横浜,"[""K7_DOWN"", ""K7_UP""]"
新郷,"[""S1_DOWN"", ""S1_UP""]"
新都心,"[""S2_DOWN"", ""S2_UP""]"
新都心西,"[""S2_DOWN"", ""S2_UP""]"
晴海,"[""R10_DOWN""]"
有明,"[""BAY_E""]"
木場,"[""R9_UP""]"
本牧ふ頭,"[""BAY_E""]"
本町,"[""R1U_DOWN"", ""R1U_UP""]"
杉田,"[""BAY_E"", ""BAY_W""]"
東扇島,"[""BAY_E"", ""BAY_W""]"
東池袋,"[""R5A_DOWN"", ""R5A_UP""]"
東神奈川,"[""K1_DOWN"", ""K1_UP""]"
板橋本町,"[""R5B_DOWN"", ""R5B_UP""]"
横浜公園,"[""K1_UP""]"
横浜港北,"[""K7_DOWN"", ""K7_UP""]"
横浜青葉,"[""K7_UP""]"
横浜駅東口,"[""K1_DOWN""]"
横浜駅西口,"[""K2_UP""]"
殿町,"[""K6_UP""]"
永田,"[""K3_UP""]"
永福,"[""R4B_DOWN"", ""R4B_UP""]"
汐入,"[""K1_UP""]"
汐留,"[""C1_CW""]"
池尻,"[""R3B_DOWN""]"
浅田,"[""K1_DOWN""]"
浜川崎,"[""K1_UP""]"
浜町,"[""R6A_DOWN"", ""R6A_UP""]"
浦和北,"[""S5_DOWN""]"
浦和南,"[""S5_UP""]"
浦安,"[""BAY_E"", ""BAY_W""]"
浮島,"[""BAY_E"", ""BAY_W""]"
清新町,"[""C2_CCW""]"
渋谷,"[""R3A_DOWN"", ""R3A_UP""]"
湾岸環八,"[""BAY_W""]"
滝野川,"[""C2_CCW""]"
王子北,"[""C2_CW""]"
王子南,"[""C2_CCW""]"
生麦,"[""K1_DOWN""]"
用賀,"[""R3B_UP""]"
目黒,"[""R2A_UP"", ""R2B_UP""]"
石川町,"[""K3_UP""]"
磯子,"[""BAY_E""]"
神田橋,"[""C1_CCW"", ""C1_CW""]"
福住,"[""R9_DOWN""]"
空港中央,"[""BAY_E"", ""BAY_W""]"
空港西,"[""R1H_UP""]"
箱崎,"[""R6A_DOWN"", ""R6A_UP""]"
羽田,"[""R1H_DOWN"", ""R1H_UP""]"
臨海副都心,"[""BAY_W""]"
舞浜,"[""BAY_W""]"
船堀橋,"[""C2_CW""]"
芝公園,"[""C1_CCW"", ""C1_CW""]"
芝浦,"[""R1H_DOWN"", ""R1H_UP""]"
花之木,"[""K3_UP""]"
荏原,"[""R2A_UP""]"
葛西,"[""BAY_E"", ""BAY_W""]"
西池袋,"[""C2_CCW""]"
西神田,"[""R5A_UP""]"
護国寺,"[""R5A_UP""]"
豊洲,"[""R10_DOWN""]"
足立入谷,"[""S1_DOWN""]"
鈴ヶ森,"[""R1H_UP""]"
銀座,"[""C1_CCW"", ""C1_CW""]"
錦糸町,"[""R7A_DOWN"", ""R7A_UP""]"
阪東橋,"[""K3_DOWN""]"
霞が関,"[""C1_CCW"", ""C1_CW""]"
飯倉,"[""C1_CCW""]"
飯田橋,"[""R5A_DOWN""]"
馬場,"[""K7_DOWN"", ""K7_UP""]"
駒形,"[""R6A_UP""]"
高井戸,"[""R4B_UP""]"
高島平,"[""R5B_UP""]"
高松,"[""C2_CW""]"
高樹町,"[""R3A_UP""]"
鹿浜橋,"[""S1_DOWN"", ""S1_UP""]"
